MFP3063913.1	WP_011278713.1	31.5	178	99	9	30	198	23	186	2.93e-05	43.9
MFP3063914.1	WP_011278461.1	60.4	159	62	1	1	158	1	159	4.69e-72	211
MFP3063914.1	WP_061980089.1	59.1	154	62	1	6	158	9	162	2.70e-67	199
MFP3063914.1	WP_062420454.1	57.4	162	65	2	1	158	1	162	5.44e-67	198
MFP3063914.1	WP_062420053.1	60.5	147	57	1	13	158	4	150	5.23e-67	197
MFP3063914.1	WP_230952356.1	60.5	147	57	1	13	158	7	153	5.76e-67	197
MFP3063914.1	WP_230951528.1	60.5	147	57	1	13	158	7	153	5.76e-67	197
MFP3063914.1	WP_061997294.1	60.3	146	57	1	14	158	6	151	2.19e-66	196
MFP3063914.1	WP_062368179.1	58.7	150	61	1	10	158	1	150	2.47e-65	193
MFP3063914.1	WP_230952817.1	60.1	143	56	1	17	158	7	149	9.70e-65	192
MFP3063914.1	WP_230950260.1	60.1	143	56	1	17	158	32	174	2.17e-64	192
MFP3063914.1	WP_081096768.1	60.6	142	55	1	18	158	6	147	2.60e-64	191
MFP3063914.1	WP_230952333.1	60.6	142	55	1	18	158	29	170	5.46e-64	191
MFP3063915.1	WP_011278460.1	65.0	440	152	2	3	442	4	441	5.60e-206	573
MFP3063916.1	WP_080504015.1	27.6	145	95	5	66	206	62	200	3.09e-07	49.3
MFP3063916.1	WP_081093991.1	27.6	145	95	5	66	206	62	200	3.09e-07	49.3
MFP3063916.1	WP_011277089.1	28.8	125	77	3	4	124	10	126	1.24e-06	45.4
MFP3063918.1	WP_011278458.1	62.6	342	127	1	5	346	7	347	1.95e-139	397
MFP3063919.1	WP_011279041.1	56.2	283	123	1	13	295	15	296	3.64e-110	318
MFP3063920.1	WP_011279040.1	47.6	374	191	4	13	383	8	379	2.51e-117	343
MFP3063921.1	WP_011279039.1	54.5	44	20	0	8	51	10	53	8.96e-16	63.2
MFP3063922.1	WP_011279038.1	42.0	174	100	1	2	174	1	174	1.09e-43	140
MFP3063923.1	WP_011278457.1	61.9	381	144	1	4	384	3	382	2.91e-180	503
