MFP3259286.1	WP_011278408.1	72.5	80	22	0	1	80	310	389	6.27e-37	124
MFP3259287.1	WP_011278407.1	67.6	293	90	3	1	290	1	291	3.23e-146	409
MFP3259288.1	WP_011278406.1	79.2	101	20	1	2	101	3	103	2.08e-53	159
MFP3259289.1	WP_011278405.1	50.0	102	51	0	1	102	1	102	3.22e-27	93.2
MFP3259290.1	WP_011278404.1	77.9	195	43	0	7	201	8	202	1.78e-102	291
MFP3259291.1	WP_011278403.1	80.0	155	31	0	1	155	1	155	9.51e-91	258
MFP3259292.1	WP_011278402.1	71.7	99	28	0	1	99	1	99	3.65e-44	135
MFP3259293.1	WP_024083597.1	39.0	105	63	1	3	106	2	106	1.58e-22	84.0
MFP3259294.1	WP_011278401.1	61.3	80	31	0	1	80	1	80	2.14e-27	92.0
MFP3259295.1	WP_011278400.1	86.9	489	64	0	1	489	1	489	0.0	897
MFP3259296.1	WP_011278399.1	79.7	453	92	0	1	453	1	453	2.07e-265	724
MFP3259297.1	WP_011278398.1	80.8	130	23	1	1	130	1	128	1.81e-77	222
MFP3259298.1	WP_015385638.1	71.8	117	33	0	1	117	1	117	7.32e-64	187
MFP3259299.1	WP_011278396.1	64.0	200	70	2	1	199	1	199	3.24e-94	270
MFP3259300.1	WP_011278395.1	61.7	94	36	0	3	96	2	95	9.45e-38	119
MFP3259301.1	WP_011278394.1	67.1	392	129	0	1	392	1	392	4.40e-193	536
MFP3259302.1	WP_011278393.1	73.9	249	65	0	1	249	1	249	2.10e-133	373
MFP3259303.1	WP_011278392.1	72.5	193	53	0	1	193	1	193	8.84e-103	291
MFP3259304.1	WP_011278391.1	64.8	227	79	1	1	227	1	226	8.52e-108	306
MFP3259305.1	WP_011278390.1	80.7	285	55	0	1	285	1	285	1.47e-165	457
MFP3259306.1	WP_011278389.1	74.2	361	92	1	1	361	1	360	1.42e-196	542
MFP3259307.1	WP_011278388.1	43.0	200	110	3	2	199	4	201	8.28e-54	167
MFP3259307.1	WP_015385637.1	43.0	200	110	3	2	199	18	215	1.26e-53	167
MFP3259307.1	WP_230952275.1	43.0	200	110	3	2	199	4	201	1.05e-53	167
MFP3259307.1	WP_230952866.1	43.0	200	110	3	2	199	4	201	1.19e-53	167
MFP3259308.1	WP_176586691.1	75.5	948	232	0	10	957	6	953	0.0	1517
MFP3259308.1	WP_196489132.1	75.4	948	233	0	10	957	6	953	0.0	1514
MFP3259308.1	WP_370685266.1	75.5	942	231	0	16	957	1	942	0.0	1506
MFP3259309.1	WP_011278386.1	72.9	177	48	0	1	177	1	177	1.12e-95	272
MFP3259310.1	WP_011278385.1	73.1	316	85	0	1	316	1	316	5.99e-176	487
MFP3259311.1	WP_176586690.1	86.0	93	13	0	1	93	1	93	8.71e-51	152
MFP3259312.1	WP_011278383.1	75.4	122	30	0	1	122	1	122	9.10e-71	204
MFP3259314.1	WP_011278382.1	52.6	57	27	0	12	68	230	286	1.17e-14	63.2
MFP3259315.1	WP_011278381.1	77.8	63	14	0	12	74	1	63	3.16e-31	101
MFP3259316.1	WP_011278380.1	64.4	278	96	2	1	278	1	275	1.05e-116	333
MFP3259317.1	WP_011278379.1	47.5	314	161	4	1	311	1	313	3.51e-102	299
MFP3259318.1	WP_011278378.1	72.0	254	71	0	1	254	1	254	4.99e-142	396
MFP3259319.1	WP_011278377.1	59.3	177	71	1	1	176	1	177	1.72e-78	228
MFP3259320.1	WP_011278376.1	83.0	572	97	0	1	572	1	572	0.0	977
MFP3259321.1	WP_011278375.1	67.2	131	43	0	1	131	1	131	2.91e-69	201
MFP3259322.1	WP_011278374.1	82.8	332	57	0	1	332	1	332	6.29e-204	558
MFP3259323.1	WP_011278373.1	72.3	141	39	0	3	143	2	142	2.03e-75	218
MFP3259324.1	WP_011278372.1	79.4	499	102	1	3	501	9	506	1.83e-288	787
MFP3259325.1	WP_011278371.1	72.5	200	55	0	1	200	1	200	4.01e-107	303
MFP3259326.1	WP_011278370.1	89.3	335	36	0	1	335	1	335	5.81e-218	594
MFP3259327.1	WP_011278369.1	86.3	95	13	0	1	95	1	95	8.93e-63	182
MFP3259328.1	WP_011278368.1	76.9	484	111	1	1	484	1	483	2.81e-288	785
MFP3259329.1	WP_011278367.1	78.2	101	22	0	1	101	1	101	2.14e-41	129
MFP3259330.1	WP_015385632.1	68.0	50	16	0	1	50	1	50	6.56e-17	63.5
MFP3259331.1	WP_011278365.1	68.9	209	65	0	1	209	1	209	4.48e-98	281
MFP3259332.1	WP_015385631.1	87.2	460	59	0	1	460	1	460	2.49e-304	823
MFP3259332.1	WP_370685265.1	87.1	459	59	0	2	460	1	459	1.39e-303	822
MFP3259333.1	WP_011278363.1	82.7	591	102	0	1	591	1	591	0.0	1008
MFP3259334.1	WP_011278362.1	52.1	192	91	1	1	191	1	192	3.54e-66	198
MFP3259335.1	WP_011278361.1	74.0	100	26	0	1	100	1	100	3.27e-56	166
MFP3259336.1	WP_080504021.1	64.1	702	249	2	1	700	1	701	9.38e-321	885
MFP3259336.1	WP_011278360.1	64.1	696	247	2	7	700	1	695	9.03e-318	877
MFP3259336.1	WP_081097674.1	61.5	732	249	3	1	700	1	731	2.54e-314	870
MFP3259337.1	WP_011278359.1	76.2	571	136	0	1	571	1	571	0.0	936
MFP3259338.1	WP_011278358.1	45.3	309	160	3	1	309	1	300	2.93e-86	258
MFP3259338.1	WP_015385630.1	45.0	309	161	3	1	309	9	308	1.52e-85	256
MFP3259339.1	WP_011278357.1	62.8	191	70	1	1	190	1	191	5.51e-75	221
MFP3259340.1	WP_011278356.1	61.2	103	40	0	1	103	1	103	3.98e-41	128
MFP3259341.1	WP_015385628.1	80.7	161	31	0	1	161	1	161	1.02e-97	276
MFP3259341.1	WP_230951557.1	72.1	179	32	1	1	161	1	179	2.86e-92	263
MFP3259342.1	WP_011278354.1	69.8	129	39	0	1	129	1	129	3.43e-65	192
MFP3259343.1	WP_011278353.1	76.0	879	207	1	1	879	1	875	0.0	1377
MFP3259344.1	WP_011278727.1	31.1	412	269	5	2	401	21	429	3.10e-62	204
MFP3259344.1	WP_272585104.1	31.1	412	269	5	2	401	21	429	3.41e-62	204
MFP3259345.1	WP_011278341.1	86.5	126	17	0	1	126	1	126	8.32e-76	218
MFP3259346.1	WP_011278340.1	74.4	567	143	2	1	565	1	567	4.54e-315	859
MFP3259347.1	WP_011278339.1	65.9	226	75	2	1	225	2	226	4.28e-111	315
MFP3259348.1	WP_011278338.1	60.4	399	154	2	1	395	1	399	4.01e-184	514
MFP3259349.1	WP_011278337.1	70.0	60	16	1	1	58	1	60	7.52e-29	94.4
MFP3259350.1	WP_011278336.1	70.1	378	113	0	1	378	1	378	1.77e-189	526
MFP3259350.1	WP_061961096.1	69.1	379	116	1	1	378	1	379	6.69e-185	514
MFP3259351.1	WP_011278335.1	69.8	298	89	1	1	297	1	298	5.94e-155	432
MFP3259352.1	WP_015385626.1	77.5	227	51	0	1	227	1	227	5.61e-141	390
MFP3259353.1	WP_011278332.1	60.1	539	212	2	1	536	1	539	7.11e-237	659
MFP3259354.1	WP_306308645.1	60.3	252	97	2	5	255	5	254	1.68e-110	316
